title,type,release_year,runtime,genres,imdb_score,name,role,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
Dodsworth,MOVIE,1936.0,101.0,"['romance', 'drama']",7.8,"Walter Huston,Ruth Chatterton,Paul Lukas,Mary Astor,David Niven,Gregory Gaye,Maria Ouspenskaya,Odette Myrtil,Spring Byington,Harlan Briggs,Kathryn Marlowe,John Payne,Bobby Barber,Wilson Benge,Ted Billings,Eugene Borden,Horace B. Carpenter,Gino Corrado,Jean De Briac,Helen Dickson,Jack George,Fred Malatesta,Beatrice Maude,Louis Mercier,Inez Palange,John Picorri,Pat Somerset,William Wyler,Sam Harris,John Barclay,Steve Carruthers,Bess Flowers,J.C. Fowler,Herschel Graham,Loretta Russell,Alphonse Martell,Edmund Mortimer,Harold Miller,George Nardelli,Dale van Sickel,William Wyler",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Sands of Iwo Jima,MOVIE,1950.0,100.0,"['drama', 'war', 'action', 'romance']",7.0,"John Wayne,John Agar,Adele Mara,Forrest Tucker,Wally Cassell,James Brown,Richard Webb,Arthur Franz,Julie Bishop,James Holden,Peter Coe,Richard Jaeckel,William Murphy,George Tyne,Hal Baylor,John McGuire,Martin Milner,Leonard Gumley,William Self,David M. Shoup,H.P. Crowe,Harold G. Schrier,Rene A. Gagnon,Ira H. Hayes,John H. Bradley,Conrad Binyon,David Clarke,Fred A. Datig,Bruce Edwards,Dorothy Ford,Carole Gallagher,Fred Graham,Don Haggerty,Gil Herman,William Hudson,I. Stanford Jolley,Dickie Jones,Billy Lechner,Mickey McCardle,Roger McGee,Al Murphy,Frank O'Connor,Judy Sochor,Glen Vernon,Steve Wayne,Dick Wessel,Ted White,John Whitney,Joy Windsor,Allan Dwan",ACTOR,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
The Pride of the Yankees,MOVIE,1942.0,128.0,"['drama', 'romance', 'sport']",7.6,"Gary Cooper,Teresa Wright,Babe Ruth,Walter Brennan,Dan Duryea,Elsa Janssen,Ludwig Stössel,Virginia Gilmore,Bill Dickey,Ernie Adams,Pierre Watkin,Harry Harvey,Mark Koenig,Bill Stern,Addison Richards,Hardie Albright,Edward Fielding,George Lessey,Edgar Barrier,Douglas Croft,Gene Collins,David Holt,Veloz,Yolanda,Frank Faylen,Pat Flaherty,Mary Gordon,Colin Kenny,Jack Carr,Sam Wood",ACTOR,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
Things to Come,MOVIE,1936.0,89.0,"['scifi', 'drama', 'war']",6.6,"Raymond Massey,Edward Chapman,Ralph Richardson,Margaretta Scott,Cedric Hardwicke,Maurice Braddell,Sophie Stewart,Derrick De Marney,Ann Todd,Pearl Argyle,Kenneth Villiers,Ivan Brandt,Anne McLaren,Patricia Hilliard,Charles Carson,Patrick Barr,Noel Brophy,John Clements,Anthony Holles,Allan Jeayes,Pickles Livingston,George Sanders,Abraham Sofaer,Terry-Thomas,William Cameron Menzies",ACTOR,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
Cyrano de Bergerac,MOVIE,1950.0,112.0,"['drama', 'romance']",7.4,"José Ferrer,Mala Powers,William Prince,Morris Carnovsky,Ralph Clanton,Lloyd Corrigan,Virginia Farmer,Edgar Barrier,Elena Verdugo,Albert Cavens,Arthur Blake,Don Beddoe,Percy Helton,Virginia Christine,Gil Warren,Philip Van Zandt,Eric Sinclair,Richard Avonde,Paul Dubov,John Crawford,Jerry Paris,Robin Hughes,Francis Pierlot,Michael Gordon",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Scarlet Street,MOVIE,1945.0,103.0,"['thriller', 'drama']",7.8,"Edward G. Robinson,Joan Bennett,Dan Duryea,Margaret Lindsay,Jess Barker,Rosalind Ivan,Charles Kemper,Anita Sharp-Bolster,Samuel S. Hinds,Vladimir Sokoloff,Arthur Loft,Russell Hicks,Richard Abbott,Rodney Bell,Richard Cramer,Dick Curtis,Tom Daly,Edgar Dearing,Joe Devlin,Tom Dillon,William Hall,Robert Malcolm,Neal Dodd,Ralph Dunn,Fred Essler,Lance Fuller,Gus Glassmire,Sherry Hall,Milton Kibbee,Ralph Littlefield,Howard M. Mitchell,Arthur Gould-Porter,Boyd Irwin,Chuck Hamilton,Herbert Heywood,Thomas E. Jackson,Edward Keane,Dick Wessel,Cy Kendall,Fritz Leiber,George Lloyd,Lou Lubin,George Meader,Horace Murphy,Clarence Muse,Lee Phelps,Rose Plumer,Constance Purdy,Beatrice Roberts,Dewey Robinson,Syd Saylor,Wallace Scott,Emmett Vogan,Matt Willis,Charles C. Wilson,Will Wright,Amzie Strickland,John Barton,Fritz Lang",ACTOR,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Made for Each Other,MOVIE,1939.0,92.0,"['comedy', 'drama', 'romance']",6.3,"Carole Lombard,James Stewart,Charles Coburn,Lucile Watson,Eddie Quillan,Alma Kruger,Ward Bond,Louise Beavers,Irving Bacon,Raymond Bailey,Bonnie Belle Barber,Donald Briggs,Harlan Briggs,Lane Chandler,Frederick Chapin,Russ Clark,Monte Collins,James Conaty,Esther Dale,Harry Davenport,Edgar Dearing,Harry Depp,Robert Elliott,Fern Emmett,Betty Farrington,Mary Field,Ruth Gillette,Russell Hopton,Olin Howland,Arthur Hoyt,Victor Kilian Jr.,Tom London,Ethel Marical,Edwin Maxwell,Tom McGuire,James McNamara,Carlyle Moore Jr.,Wilhelmina Morris,Jack Mulhall,Robert Emmett O'Connor,Renee Orsell,Garry Owen,John Picorri,Mickey Rentschler,Cyril Ring,Mildred Shay,Ivan F. Simpson,Milburn Stone,Jackie Taylor,Nella Walker,Ruth Weston,Marjorie Wood,Harry Worth,John Cromwell",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
The Thief of Bagdad,MOVIE,1924.0,149.0,"['romance', 'family', 'fantasy']",7.7,"Douglas Fairbanks,Snitz Edwards,Charles Belcher,Julanne Johnston,Sôjin Kamiyama,Anna May Wong,Brandon Hurst,Tote Du Crow,Noble Johnson,Sam Baker,Laska Winter,Etta Lee,Mathilde Comont,Charles Stevens,Eugene Jackson,Jesse Lasky Jr.,David Sharpe,Paul Malvern,Scotty Mattraw,Jess Weldon,K. Nambu,Raoul Walsh",ACTOR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
D.O.A.,MOVIE,1950.0,83.0,"['crime', 'comedy', 'thriller', 'drama']",7.2,"Edmond O'Brien,Pamela Britton,Luther Adler,Beverly Garland,Lynn Baggett,William Ching,Henry Hart,Neville Brand,Laurette Luez,Jess Kirkpatrick,Cay Forester,Frank Jaquet,Lawrence Dobkin,Frank Gerstle,Carol Hughes,Michael Ross,Donna Sanborn,Harold Miller,Sam Harris,George Lynn,Phillip Pine,Bill Baldwin,Teddy Buckner,Frank Cady,Roy Engel,Douglas Evans,Virginia Lee,Peter Leeds,Hugh O'Brian,Jerry Paris,Paul Picerni,Lynne Roberts,Ivan Triesault,Beverly Warren,Rudolph Maté",ACTOR,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Jungle Book,MOVIE,1942.0,106.0,"['fantasy', 'family', 'action']",6.7,"Sabu,Joseph Calleia,John Qualen,Frank Puglia,Rosemary DeCamp,Patricia O'Rourke,Ralph Byrd,Faith Brook,Noble Johnson,John Mather,Mel Blanc,Zoltan Korda",ACTOR,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
