imdb_score,thriller,scifi,animation,documentation,history,western,war,sport,action,romance,horror,crime,comedy,drama,music,reality,fantasy,family,european
0.6590909090909091,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
0.7159090909090909,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6363636363636364,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
0.6931818181818181,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.7045454545454545,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
0.7386363636363635,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.5492791038880425,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5795454545454546,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0
0.5909090909090908,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.5568181818181818,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6704545454545454,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.7045454545454545,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.6704545454545454,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
0.6818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7159090909090909,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.6022727272727273,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.4772727272727272,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6931818181818181,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
0.7159090909090909,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
0.6136363636363636,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.6704545454545454,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.6022727272727273,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0.5795454545454546,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
0.5454545454545455,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.6931818181818181,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
0.6818181818181818,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
0.6590909090909091,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
0.6818181818181818,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6818181818181818,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.6363636363636364,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6249999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.4545454545454545,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
0.7045454545454545,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
0.6590909090909091,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.5340909090909091,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
